timestamp,region,pm25,temperature,humidity
2025-01-16T05:30:00.000Z,US Diplomatic Post: New Delhi-8118,159.0,30.67,45.85
2025-01-16T09:30:00.000Z,US Diplomatic Post: New Delhi-8118,105.0,30.13,66.65
2025-01-16T13:30:00.000Z,US Diplomatic Post: New Delhi-8118,142.0,21.36,61.82
2025-01-16T17:30:00.000Z,US Diplomatic Post: New Delhi-8118,311.0,28.61,66.34
2025-01-16T20:30:00.000Z,US Diplomatic Post: New Delhi-8118,228.0,26.82,39.5
2025-01-17T00:30:00.000Z,US Diplomatic Post: New Delhi-8118,133.0,24.0,49.47
2025-01-17T04:30:00.000Z,US Diplomatic Post: New Delhi-8118,157.0,20.35,36.2
2025-01-17T08:30:00.000Z,US Diplomatic Post: New Delhi-8118,116.0,21.55,65.22
2025-01-17T12:30:00.000Z,US Diplomatic Post: New Delhi-8118,128.0,27.56,54.62
2025-01-17T16:30:00.000Z,US Diplomatic Post: New Delhi-8118,144.0,21.44,66.38
