timestamp,region,pm25,temperature,humidity
2025-01-19T03:30:00.000Z,US Diplomatic Post: New Delhi-8118,293.0,27.73,55.11
2025-01-19T07:30:00.000Z,US Diplomatic Post: New Delhi-8118,187.0,32.87,39.71
2025-01-19T11:30:00.000Z,US Diplomatic Post: New Delhi-8118,106.0,29.91,62.42
2025-01-19T15:30:00.000Z,US Diplomatic Post: New Delhi-8118,212.0,24.37,63.29
,location,,33.85,51.79
2025-01-19T22:30:00.000Z,US Diplomatic Post: New Delhi-8118,187.0,21.68,41.08
2025-01-20T02:30:00.000Z,US Diplomatic Post: New Delhi-8118,156.0,21.84,45.81
2025-01-20T06:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,25.66,32.9
2025-01-20T10:30:00.000Z,US Diplomatic Post: New Delhi-8118,105.0,25.96,62.27
2025-01-20T14:30:00.000Z,US Diplomatic Post: New Delhi-8118,179.0,22.09,40.92
