timestamp,region,pm25,temperature,humidity
2025-01-06T16:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,34.88,63.03
2025-01-06T19:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,29.08,56.94
2025-01-06T23:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,20.07,51.44
2025-01-07T03:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,20.01,54.15
2025-01-07T07:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,21.13,51.58
2025-01-07T11:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,22.48,43.07
2025-01-07T15:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,32.64,59.03
,location,,33.99,67.91
2025-01-07T22:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,23.03,43.18
2025-01-08T02:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,32.35,59.23
2025-01-08T06:30:00.000Z,US Diplomatic Post: New Delhi-8118,99.0,25.1,59.67
2025-01-08T10:30:00.000Z,US Diplomatic Post: New Delhi-8118,70.0,29.88,48.94
