timestamp,region,pm25,temperature,humidity
2025-01-08T12:30:00.000Z,US Diplomatic Post: New Delhi-8118,86.0,24.55,49.45
2025-01-08T16:30:00.000Z,US Diplomatic Post: New Delhi-8118,245.0,24.79,48.69
2025-01-08T19:30:00.000Z,US Diplomatic Post: New Delhi-8118,265.0,31.61,56.66
2025-01-08T23:30:00.000Z,US Diplomatic Post: New Delhi-8118,176.0,22.07,45.06
2025-01-09T03:30:00.000Z,US Diplomatic Post: New Delhi-8118,192.0,31.2,43.92
2025-01-09T07:30:00.000Z,US Diplomatic Post: New Delhi-8118,173.0,32.24,59.5
2025-01-09T11:30:00.000Z,US Diplomatic Post: New Delhi-8118,314.0,28.51,40.58
2025-01-09T15:30:00.000Z,US Diplomatic Post: New Delhi-8118,341.0,28.4,42.87
,location,,24.85,55.87
2025-01-09T22:30:00.000Z,US Diplomatic Post: New Delhi-8118,359.0,27.86,53.56
