timestamp,region,pm25,temperature,humidity
,location,,27.04,63.7
2024-12-31T22:30:00.000Z,New Delhi-8118,204.0,25.04,46.84
2025-01-01T02:30:00.000Z,New Delhi-8118,165.0,24.72,33.28
2025-01-01T06:30:00.000Z,New Delhi-8118,188.0,21.58,54.71
2025-01-01T10:30:00.000Z,New Delhi-8118,202.0,27.42,69.05
2025-01-01T14:30:00.000Z,New Delhi-8118,196.0,27.9,69.83
2025-01-01T18:30:00.000Z,New Delhi-8118,200.0,33.26,50.42
2025-01-01T21:30:00.000Z,New Delhi-8118,173.0,32.7,48.86
2025-01-02T01:30:00.000Z,New Delhi-8118,153.0,33.43,43.46
2025-01-02T05:30:00.000Z,New Delhi-8118,204.0,32.49,69.8
2025-01-02T09:30:00.000Z,New Delhi-8118,213.0,26.75,52.96
2025-01-02T13:30:00.000Z,New Delhi-8118,217.0,27.89,61.38
2025-01-02T17:30:00.000Z,New Delhi-8118,210.0,28.67,43.18
2025-01-02T20:30:00.000Z,US Diplomatic Post: New Delhi-8118,213.0,29.81,61.41
2025-01-03T00:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,21.74,58.6
2025-01-03T04:30:00.000Z,US Diplomatic Post: New Delhi-8118,210.0,26.9,64.19
2025-01-03T08:30:00.000Z,US Diplomatic Post: New Delhi-8118,382.0,32.91,39.46
2025-01-03T12:30:00.000Z,US Diplomatic Post: New Delhi-8118,213.0,27.33,52.89
2025-01-03T16:30:00.000Z,US Diplomatic Post: New Delhi-8118,345.0,31.15,33.2
2025-01-03T19:30:00.000Z,US Diplomatic Post: New Delhi-8118,250.0,31.05,48.24
2025-01-03T23:30:00.000Z,US Diplomatic Post: New Delhi-8118,180.0,28.79,63.95
2025-01-04T03:30:00.000Z,US Diplomatic Post: New Delhi-8118,169.0,27.04,47.89
2025-01-04T07:30:00.000Z,US Diplomatic Post: New Delhi-8118,442.0,25.47,42.41
2025-01-04T11:30:00.000Z,US Diplomatic Post: New Delhi-8118,301.0,27.08,49.52
2025-01-04T15:30:00.000Z,US Diplomatic Post: New Delhi-8118,313.0,22.34,30.97
,location,,26.78,39.67
2025-01-04T22:30:00.000Z,New Delhi-8118,-999.0,32.48,62.47
2025-01-05T02:30:00.000Z,New Delhi-8118,-999.0,26.1,49.93
2025-01-05T06:30:00.000Z,New Delhi-8118,-999.0,26.3,46.38
2025-01-05T10:30:00.000Z,New Delhi-8118,-999.0,30.53,36.79
2025-01-05T14:30:00.000Z,New Delhi-8118,-999.0,22.14,35.65
2025-01-05T18:30:00.000Z,New Delhi-8118,-999.0,25.98,53.1
2025-01-05T21:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,27.1,66.12
2025-01-06T01:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,21.72,35.28
2025-01-06T05:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,21.2,51.74
2025-01-06T09:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,28.87,42.24
